"＊ Sorted by Index Futures,JGB Futures, Index Options (Put, Call), Options on 10-year JGB futures, Individual Options each in contract month numerical order.",,,,,,,,,,,
"＊ ""Theoretical price"" is used in calculating the price range of J-NET trading until 4 p.m. of the trading day.",,,,,,,,,,,
Issue Code,Issue Name,Put／Call,Contract Month,Strike Price,Settlement Price,Theoretical Price,Underlying Index,Volatility ,Interest Rate,Days until Maturity,Underlying Name
141074618,CAL_NK225_1607_14625,CAL,201607,14625,2120,2110,16675.45,35.6194,0.0346,31,Nikkei 225 
141074718,CAL_NK225_1607_14750,CAL,201607,14750,2000,1990,16675.45,34.4572,0.0346,31,Nikkei 225 
141074818,CAL_NK225_1607_14875,CAL,201607,14875,1880,1875,16675.45,33.7762,0.0346,31,Nikkei 225 
141075018,CAL_NK225_1607_15000,CAL,201607,15000,1760,1760,16675.45,32.9788,0.0346,31,Nikkei 225 
141075118,CAL_NK225_1607_15125,CAL,201607,15125,1650,1645,16675.45,32.0751,0.0346,31,Nikkei 225 
141075218,CAL_NK225_1607_15250,CAL,201607,15250,1530,1530,16675.45,31.072,0.0346,31,Nikkei 225 
141075318,CAL_NK225_1607_15375,CAL,201607,15375,1420,1420,16675.45,30.3806,0.0346,31,Nikkei 225 
141075518,CAL_NK225_1607_15500,CAL,201607,15500,1320,1320,16675.45,30.3016,0.0346,31,Nikkei 225 
141075618,CAL_NK225_1607_15625,CAL,201607,15625,1220,1210,16675.45,29.2979,0.0346,31,Nikkei 225 
141075718,CAL_NK225_1607_15750,CAL,201607,15750,1110,1105,16675.45,28.5065,0.0346,31,Nikkei 225 
141075818,CAL_NK225_1607_15875,CAL,201607,15875,1010,1005,16675.45,27.8766,0.0346,31,Nikkei 225 
141076018,CAL_NK225_1607_16000,CAL,201607,16000,915,910,16675.45,27.3654,0.0346,31,Nikkei 225 
141076118,CAL_NK225_1607_16125,CAL,201607,16125,820,818,16675.45,26.7956,0.0346,31,Nikkei 225 
141076218,CAL_NK225_1607_16250,CAL,201607,16250,720,720,16675.45,25.7428,0.0346,31,Nikkei 225 
141076318,CAL_NK225_1607_16375,CAL,201607,16375,645,645,16675.45,25.7032,0.0346,31,Nikkei 225 
141076518,CAL_NK225_1607_16500,CAL,201607,16500,565,565,16675.45,25.143,0.0346,31,Nikkei 225 
