"＊ Sorted by Index Futures,JGB Futures, Index Options (Put, Call), Options on 10-year JGB futures, Individual Options each in contract month numerical order.",,,,,,,,,,,
"＊ ""Theoretical price"" is used in calculating the price range of J-NET trading until 4 p.m. of the trading day.",,,,,,,,,,,
Issue Code,Issue Name,Put／Call,Contract Month,Strike Price,Settlement Price,Theoretical Price,Underlying Index,Volatility ,Interest Rate,Days until Maturity,Underlying Name
141037118,CAL_NK225_1603_17125,CAL,201603,17125,42,42,15915.79,27.0198,0.0755,16,Nikkei 225 
141037218,CAL_NK225_1603_17250,CAL,201603,17250,32,32,15915.79,27.0495,0.0755,16,Nikkei 225 
141037318,CAL_NK225_1603_17375,CAL,201603,17375,25,25,15915.79,27.2843,0.0755,16,Nikkei 225 
141037518,CAL_NK225_1603_17500,CAL,201603,17500,19,19,15915.79,27.3865,0.0755,16,Nikkei 225 
141037618,CAL_NK225_1603_17625,CAL,201603,17625,14,14,15915.79,27.3682,0.0755,16,Nikkei 225 
141037718,CAL_NK225_1603_17750,CAL,201603,17750,11,11,15915.79,27.6968,0.0755,16,Nikkei 225 
141037818,CAL_NK225_1603_17875,CAL,201603,17875,10,10,15915.79,28.6903,0.0755,16,Nikkei 225 
141038018,CAL_NK225_1603_18000,CAL,201603,18000,7,7,15915.79,28.4788,0.0755,16,Nikkei 225 
141038118,CAL_NK225_1603_18125,CAL,201603,18125,6,6,15915.79,29.1532,0.0755,16,Nikkei 225 
141038218,CAL_NK225_1603_18250,CAL,201603,18250,5,5,15915.79,29.6861,0.0755,16,Nikkei 225 
141038318,CAL_NK225_1603_18375,CAL,201603,18375,4,4,15915.79,30.0396,0.0755,16,Nikkei 225 
141038518,CAL_NK225_1603_18500,CAL,201603,18500,4,4,15915.79,31.2515,0.0755,16,Nikkei 225 
141038618,CAL_NK225_1603_18625,CAL,201603,18625,4,3,15915.79,31.3106,0.0755,16,Nikkei 225 
141038718,CAL_NK225_1603_18750,CAL,201603,18750,3,3,15915.79,32.4619,0.0755,16,Nikkei 225 
141038818,CAL_NK225_1603_18875,CAL,201603,18875,3,2,15915.79,32.8901,0.0755,16,Nikkei 225 
141039018,CAL_NK225_1603_19000,CAL,201603,19000,2,2,15915.79,33.1555,0.0755,16,Nikkei 225 
141039118,CAL_NK225_1603_19125,CAL,201603,19125,2,2,15915.79,34.2297,0.0755,16,Nikkei 225 
141039218,CAL_NK225_1603_19250,CAL,201603,19250,2,1,15915.79,34.2292,0.0755,16,Nikkei 225 
141039318,CAL_NK225_1603_19375,CAL,201603,19375,1,1,15915.79,33.8537,0.0755,16,Nikkei 225 
141039518,CAL_NK225_1603_19500,CAL,201603,19500,2,2,15915.79,37.3877,0.0755,16,Nikkei 225 
141039618,CAL_NK225_1603_19625,CAL,201603,19625,2,2,15915.79,37.3957,0.0755,16,Nikkei 225 
141039718,CAL_NK225_1603_19750,CAL,201603,19750,2,1,15915.79,37.3957,0.0755,16,Nikkei 225 
141039818,CAL_NK225_1603_19875,CAL,201603,19875,1,1,15915.79,37.3957,0.0755,16,Nikkei 225 
141030018,CAL_NK225_1603_20000,CAL,201603,20000,1,1,15915.79,38.685,0.0755,16,Nikkei 225 
141030118,CAL_NK225_1603_20125,CAL,201603,20125,1,1,15915.79,37.3957,0.0755,16,Nikkei 225 
141030218,CAL_NK225_1603_20250,CAL,201603,20250,1,0,15915.79,38.0694,0.0755,16,Nikkei 225 
141030318,CAL_NK225_1603_20375,CAL,201603,20375,1,0,15915.79,38.7986,0.0755,16,Nikkei 225 
191030518,CAL_NK225_1603_20500,CAL,201603,20500,1,0,15915.79,38.5843,0.0755,16,Nikkei 225 
141030618,CAL_NK225_1603_20625,CAL,201603,20625,1,0,15915.79,38.8549,0.0755,16,Nikkei 225 
191030718,CAL_NK225_1603_20750,CAL,201603,20750,1,1,15915.79,44.2059,0.0755,16,Nikkei 225 
141030818,CAL_NK225_1603_20875,CAL,201603,20875,1,0,15915.79,38.9335,0.0755,16,Nikkei 225 
191031018,CAL_NK225_1603_21000,CAL,201603,21000,1,0,15915.79,39.3,0.0755,16,Nikkei 225 
141031118,CAL_NK225_1603_21125,CAL,201603,21125,1,0,15915.79,39.7085,0.0755,16,Nikkei 225 
191031218,CAL_NK225_1603_21250,CAL,201603,21250,1,0,15915.79,39.7085,0.0755,16,Nikkei 225 
141031318,CAL_NK225_1603_21375,CAL,201603,21375,1,0,15915.79,39.7085,0.0755,16,Nikkei 225 
191031518,CAL_NK225_1603_21500,CAL,201603,21500,1,0,15915.79,39.7085,0.0755,16,Nikkei 225 
191031718,CAL_NK225_1603_21750,CAL,201603,21750,1,0,15915.79,40.1156,0.0755,16,Nikkei 225 
191032018,CAL_NK225_1603_22000,CAL,201603,22000,1,0,15915.79,41,0.0755,16,Nikkei 225 
191032218,CAL_NK225_1603_22250,CAL,201603,22250,1,0,15915.79,42.7743,0.0755,16,Nikkei 225 
191032518,CAL_NK225_1603_22500,CAL,201603,22500,1,0,15915.79,43.8073,0.0755,16,Nikkei 225 
191032718,CAL_NK225_1603_22750,CAL,201603,22750,1,0,15915.79,43.8073,0.0755,16,Nikkei 225 
191033018,CAL_NK225_1603_23000,CAL,201603,23000,1,0,15915.79,43.8073,0.0755,16,Nikkei 225 
191033218,CAL_NK225_1603_23250,CAL,201603,23250,1,0,15915.79,43.8073,0.0755,16,Nikkei 225 
191033518,CAL_NK225_1603_23500,CAL,201603,23500,1,0,15915.79,43.8073,0.0755,16,Nikkei 225 
191033718,CAL_NK225_1603_23750,CAL,201603,23750,1,0,15915.79,43.8073,0.0755,16,Nikkei 225 
191034018,CAL_NK225_1603_24000,CAL,201603,24000,1,0,15915.79,43.8073,0.0755,16,Nikkei 225 
191034218,CAL_NK225_1603_24250,CAL,201603,24250,1,0,15915.79,43.8073,0.0755,16,Nikkei 225 
191034518,CAL_NK225_1603_24500,CAL,201603,24500,1,0,15915.79,43.8073,0.0755,16,Nikkei 225 
191034718,CAL_NK225_1603_24750,CAL,201603,24750,1,0,15915.79,43.8073,0.0755,16,Nikkei 225 
191043018,CAL_NK225_1604_13000,CAL,201604,13000,2910,2910,15915.79,46.5292,0.0755,44,Nikkei 225 
141043118,CAL_NK225_1604_13125,CAL,201604,13125,2800,2795,15915.79,45.8216,0.0755,44,Nikkei 225 
191043218,CAL_NK225_1604_13250,CAL,201604,13250,2690,2680,15915.79,45.0439,0.0755,44,Nikkei 225 
141043318,CAL_NK225_1604_13375,CAL,201604,13375,2570,2565,15915.79,44.201,0.0755,44,Nikkei 225 
191043518,CAL_NK225_1604_13500,CAL,201604,13500,2460,2455,15915.79,43.7201,0.0755,44,Nikkei 225 
