＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 記載されているオプション商品の「理論価格」は，当該取引日の16時までの間，J-NET取引の値幅を計算する際に用いる理論価格をいいます。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
140128618,CAL_NK225_1512_18625,CAL,201512,18625,1270,1270,19847.58,23.881,0.13,16,日経225
140128718,CAL_NK225_1512_18750,CAL,201512,18750,1160,1155,19847.58,23.2914,0.13,16,日経225
140128818,CAL_NK225_1512_18875,CAL,201512,18875,1040,1035,19847.58,21.9113,0.13,16,日経225
190129018,CAL_NK225_1512_19000,CAL,201512,19000,925,925,19847.58,21.4388,0.13,16,日経225
140129118,CAL_NK225_1512_19125,CAL,201512,19125,815,815,19847.58,20.6692,0.13,16,日経225
190129218,CAL_NK225_1512_19250,CAL,201512,19250,710,707,19847.58,19.8391,0.13,16,日経225
140129318,CAL_NK225_1512_19375,CAL,201512,19375,610,605,19847.58,19.0949,0.13,16,日経225
190129518,CAL_NK225_1512_19500,CAL,201512,19500,515,515,19847.58,18.864,0.13,16,日経225
140129618,CAL_NK225_1512_19625,CAL,201512,19625,425,422,19847.58,18.0399,0.13,16,日経225
190129718,CAL_NK225_1512_19750,CAL,201512,19750,345,345,19847.58,17.7195,0.13,16,日経225
140129818,CAL_NK225_1512_19875,CAL,201512,19875,270,270,19847.58,17.0574,0.13,16,日経225
190120018,CAL_NK225_1512_20000,CAL,201512,20000,215,215,19847.58,17.0826,0.13,16,日経225
140120118,CAL_NK225_1512_20125,CAL,201512,20125,165,165,19847.58,16.8856,0.13,16,日経225
190120218,CAL_NK225_1512_20250,CAL,201512,20250,125,125,19847.58,16.7981,0.13,16,日経225
140120318,CAL_NK225_1512_20375,CAL,201512,20375,90,90,19847.58,16.5054,0.13,16,日経225
190120518,CAL_NK225_1512_20500,CAL,201512,20500,65,65,19847.58,16.4401,0.13,16,日経225
140120618,CAL_NK225_1512_20625,CAL,201512,20625,50,50,19847.58,16.8289,0.13,16,日経225
190120718,CAL_NK225_1512_20750,CAL,201512,20750,37,37,19847.58,17.0366,0.13,16,日経225
140120818,CAL_NK225_1512_20875,CAL,201512,20875,25,25,19847.58,16.9003,0.13,16,日経225
190121018,CAL_NK225_1512_21000,CAL,201512,21000,19,19,19847.58,17.2962,0.13,16,日経225
140121118,CAL_NK225_1512_21125,CAL,201512,21125,13,13,19847.58,17.326,0.13,16,日経225
190121218,CAL_NK225_1512_21250,CAL,201512,21250,10,9,19847.58,17.6053,0.13,16,日経225
140121318,CAL_NK225_1512_21375,CAL,201512,21375,8,8,19847.58,18.3035,0.13,16,日経225
190121518,CAL_NK225_1512_21500,CAL,201512,21500,6,6,19847.58,18.6318,0.13,16,日経225
140121618,CAL_NK225_1512_21625,CAL,201512,21625,5,5,19847.58,19.2414,0.13,16,日経225
190121718,CAL_NK225_1512_21750,CAL,201512,21750,4,4,19847.58,19.7135,0.13,16,日経225
140121818,CAL_NK225_1512_21875,CAL,201512,21875,3,3,19847.58,20.0003,0.13,16,日経225
190122018,CAL_NK225_1512_22000,CAL,201512,22000,2,2,19847.58,20.0015,0.13,16,日経225
190122218,CAL_NK225_1512_22250,CAL,201512,22250,2,2,19847.58,21.2194,0.13,16,日経225
190122518,CAL_NK225_1512_22500,CAL,201512,22500,1,1,19847.58,22.0907,0.13,16,日経225
190122718,CAL_NK225_1512_22750,CAL,201512,22750,1,1,19847.58,22.9946,0.13,16,日経225
190123018,CAL_NK225_1512_23000,CAL,201512,23000,1,0,19847.58,22.9946,0.13,16,日経225
190123218,CAL_NK225_1512_23250,CAL,201512,23250,1,0,19847.58,23.5087,0.13,16,日経225
190123518,CAL_NK225_1512_23500,CAL,201512,23500,1,0,19847.58,24.0615,0.13,16,日経225
190123718,CAL_NK225_1512_23750,CAL,201512,23750,1,0,19847.58,25.4401,0.13,16,日経225
140244018,CAL_NK225_1512_24000,CAL,201512,24000,1,0,19847.58,25.4401,0.13,16,日経225
190124218,CAL_NK225_1512_24250,CAL,201512,24250,1,0,19847.58,25.4401,0.13,16,日経225
140244518,CAL_NK225_1512_24500,CAL,201512,24500,1,0,19847.58,25.9583,0.13,16,日経225
190124718,CAL_NK225_1512_24750,CAL,201512,24750,1,0,19847.58,25.9583,0.13,16,日経225
191013018,CAL_NK225_1601_13000,CAL,201601,13000,6850,6845,19847.58,58.2299,0.13,44,日経225
191013218,CAL_NK225_1601_13250,CAL,201601,13250,6600,6595,19847.58,55.8878,0.13,44,日経225
191013518,CAL_NK225_1601_13500,CAL,201601,13500,6350,6345,19847.58,53.5838,0.13,44,日経225
191013718,CAL_NK225_1601_13750,CAL,201601,13750,6100,6095,19847.58,51.316,0.13,44,日経225
191014018,CAL_NK225_1601_14000,CAL,201601,14000,5850,5845,19847.58,49.0824,0.13,44,日経225
191014218,CAL_NK225_1601_14250,CAL,201601,14250,5600,5595,19847.58,46.8814,0.13,44,日経225
191014518,CAL_NK225_1601_14500,CAL,201601,14500,5350,5345,19847.58,44.7113,0.13,44,日経225
191014718,CAL_NK225_1601_14750,CAL,201601,14750,5100,5095,19847.58,42.5702,0.13,44,日経225
141015018,CAL_NK225_1601_15000,CAL,201601,15000,4860,4855,19847.58,43.1179,0.13,44,日経225
141015218,CAL_NK225_1601_15250,CAL,201601,15250,4610,4605,19847.58,40.9262,0.13,44,日経225
141015518,CAL_NK225_1601_15500,CAL,201601,15500,4360,4355,19847.58,38.7589,0.13,44,日経225
141015718,CAL_NK225_1601_15750,CAL,201601,15750,4110,4105,19847.58,36.6141,0.13,44,日経225
141015818,CAL_NK225_1601_15875,CAL,201601,15875,3990,3985,19847.58,36.5355,0.13,44,日経225
141016018,CAL_NK225_1601_16000,CAL,201601,16000,3870,3865,19847.58,36.3451,0.13,44,日経225
141016118,CAL_NK225_1601_16125,CAL,201601,16125,3740,3735,19847.58,34.3777,0.13,44,日経225
141016218,CAL_NK225_1601_16250,CAL,201601,16250,3620,3615,19847.58,34.1568,0.13,44,日経225
141016318,CAL_NK225_1601_16375,CAL,201601,16375,3500,3495,19847.58,33.8463,0.13,44,日経225
141016518,CAL_NK225_1601_16500,CAL,201601,16500,3370,3365,19847.58,31.9849,0.13,44,日経225
141016618,CAL_NK225_1601_16625,CAL,201601,16625,3250,3245,19847.58,31.6452,0.13,44,日経225
141016718,CAL_NK225_1601_16750,CAL,201601,16750,3130,3125,19847.58,31.2313,0.13,44,日経225
141016818,CAL_NK225_1601_16875,CAL,201601,16875,3010,3005,19847.58,30.7528,0.13,44,日経225
141017018,CAL_NK225_1601_17000,CAL,201601,17000,2890,2885,19847.58,30.2173,0.13,44,日経225
141017118,CAL_NK225_1601_17125,CAL,201601,17125,2770,2765,19847.58,29.6303,0.13,44,日経225
141017218,CAL_NK225_1601_17250,CAL,201601,17250,2650,2645,19847.58,28.9965,0.13,44,日経225
141017318,CAL_NK225_1601_17375,CAL,201601,17375,2530,2525,19847.58,28.3194,0.13,44,日経225
